Subject,number,title,crn,credits,capacity,availability,days,startTime,endTime,instructor
ACCT,447,FINANCIAL STMNT ANALYSIS,21718,3,20,-1,TR,09:35 am,10:50 am,Karen Redman (P)
ACCT,447,FINANCIAL STMNT ANALYSIS,13138,3,20,0,TR,08:00 am,09:15 am,Karen Redman (P)
ACCT,447,FINANCIAL STMNT ANALYSIS,29059,3,0,-4,F,09:00 am,12:00 pm,TBA
ACCT,450,ACCOUNTING ETHICS,27210,3,5,3,W,02:20 pm,04:50 pm,Michael Shaub (P)
ACCT,484,ACCOUNTING INTERNSHIP,20768,3,0,0,,TBA,TBA,Annie L. McGowan (P)
ACCT,484,ACCOUNTING INTERNSHIP:IN-AB,15493,3,30,25,,TBA,TBA,Annie L. McGowan (P)
ACCT,607,SEMINAR IN AUDITING,10019,3,50,1,TR,03:55 pm,05:10 pm,James C. Flagg (P)
ACCT,610,FINANCIAL ACCOUNTING,10020,3,33,6,MW,08:30 am,10:30 am,Lynn Rees (P)
ACCT,610,FINANCIAL ACCOUNTING,10021,3,33,7,MW,10:45 am,12:45 pm,Lynn Rees (P)
ACCT,610,FINANCIAL ACCOUNTING,23805,3-Jan,25,25,TR,11:10 am,12:25 pm,Karen Redman (P)
ACCT,611,MGMT OF TAXATION,13140,3,31,-2,TR,02:20 pm,03:35 pm,Kevin Roach (P)
ACCT,611,MGMT OF TAXATION,13139,3,31,1,TR,03:55 pm,05:10 pm,Kevin Roach (P)
ACCT,612,PARTNRSP & REAL EST TX,13141,3,60,-2,MW,09:35 am,10:50 am,Dennis Lassila (P)
ACCT,621,CORPORATE TAXATION I,10025,3,40,1,MW,12:45 pm,02:00 pm,Dennis Lassila (P)
ACCT,621,CORPORATE TAXATION I,10026,3,38,0,MW,02:20 pm,03:35 pm,Dennis Lassila (P)
ACCT,625,PROFESSIONAL ACCT SEMINAR,29102,1,0,0,,TBA,TBA,Michael Shaub (P)
ACCT,628,BUS APPLICATION MODELING,10027,3,40,-1,MW,09:35 am,10:50 am,Joan E. Sanders (P)
ACCT,628,BUS APPLICATION MODELING,10028,3,40,-1,MW,11:10 am,12:25 pm,Joan E. Sanders (P)
ACCT,628,BUS APPLICATION MODELING,10029,3,40,-2,MW,12:45 pm,02:00 pm,Joan E. Sanders (P)
ACCT,640,ACCT CON & PROCEDURE I,10030,3,100,71,T,11:10 am,12:25 pm,Courtney E. Foster (P)
ACCT,640,ACCT CON & PROCEDURE I,10030,3,100,71,T,07:00 pm,09:00 pm,Courtney E. Foster (P)
ACCT,640,ACCT CON & PROCEDURE I,10030,3,100,71,F,05:30 pm,07:30 pm,Courtney E. Foster (P)
ACCT,647,FINANCIAL STMNT ANALYSIS,13148,3,23,3,TR,11:10 am,12:25 pm,Senyo Tse (P)
ACCT,647,FINANCIAL STMNT ANALYSIS,13147,3,23,7,TR,12:45 pm,02:00 pm,Senyo Tse (P)
