Room, startTime, endTime , days, capacity
AGLS 116, 12:40 pm, 01:30 pm, MWF,50
AGLS 114, 01:50 pm, 02:40 pm, MWF,50
HFSB 104, 08:00 am, 09:15 am, TR,50
HFSB 104, 08:00 am, 09:15 am, TR,15
AGLS 114, 02:20 pm, 03:35 pm, TR,50
AGLS 114, 02:20 pm, 03:35 pm, TR,10
AGLS 115, 04:10 pm, 05:40 pm, W,10
AGLS 115, 04:10 pm, 05:40 pm, W,0
PEAP 137, 04:10 pm, 05:25 pm, MW,25
AGLS 110, 12:45 pm, 02:00 pm, TR,24
HFSB 101, 12:45 pm, 02:00 pm, TR,25
AGLS 110, 12:40 pm, 01:30 pm, MWF,10
HPCT 102, 08:00 am, 09:15 am, TR,33
HFSB 101, 11:10 am, 12:25 pm, TR,35
AGLS 114, 03:00 pm, 03:50 pm, MW,62
AGLS 114, 03:00 pm, 03:50 pm, F,62
HFSB 101, 03:55 pm, 05:10 pm, TR,29
HFSB 101, 02:20 pm, 03:35 pm, TR,29
AGLS 110, 02:20 pm, 03:35 pm, TR,13
AGLS 110, 04:10 pm, 05:25 pm, MW,24
AGLS 111B, 12:45 pm, 02:00 pm, TR,24
AGLS 110, 10:20 am, 11:10 am, MWF,25
HFSB 105, 09:35 am, 10:50 am, TR,7
AGLS 109, 08:00 am, 09:15 am, TR,22
AGLS 110, 09:35 am, 10:50 am, TR,16
AGLS 110, 01:30 pm, 04:00 pm, MW,20
AGLS 110, 02:20 pm, 04:50 pm, F,10
HFSB 101, 12:45 pm, 02:00 pm, TR,0
KLCT 115, 03:00 pm, 03:50 pm, M,336
KLCT 115, 08:00 am, 08:50 am, T,336
AGLS 113, 09:35 am, 10:50 am, TR,35
AGLS 132, 02:20 pm, 04:00 pm, R,35
AGLS 132, 09:10 am, 10:00 am, MW,24
AGLS 132, 10:00 am, 11:50 am, F,24
AGLS 132, 10:20 am, 11:10 am, MW,24
AGLS 132, 08:00 am, 09:50 am, F,24
SCTS 215, 03:00 pm, 04:40 pm, M,20
KLCT 117, 08:00 am, 08:50 am, MW,20
KLCT 117, 01:00 pm, 02:50 pm, W,20
KLCT 117, 03:00 pm, 04:50 pm, W,20
KLCT 117, 01:00 pm, 02:50 pm, R,20
KLCT 117, 03:00 pm, 04:50 pm, R,20
KLCT 117, 08:00 am, 08:50 am, MW,0
SCTS 215, 09:10 am, 10:00 am, MWF,0
SCTS 317, 12:45 pm, 01:35 pm, TR,7
SCTS 317, 12:40 pm, 02:30 pm, W,7
SCTS 317, 03:00 pm, 04:50 pm, W,7
SCTS 317, 10:20 am, 12:10 pm, W,7
AGLS 116, 11:30 am, 12:20 pm, MW,35
AGLS 116, 12:45 pm, 02:35 pm, T,35
AGLS 116, 03:00 pm, 04:50 pm, T,35
SCTS 317, 11:10 am, 12:25 pm, TR,54
SCTS 317, 08:00 am, 09:15 am, TR,24
SCTS 317, 12:45 pm, 02:35 pm, T,24
SCTS 317, 03:00 pm, 04:50 pm, T,24
HECC 202, 09:35 am, 10:50 am, TR,43
MILS 214, 10:20 am, 11:10 am, MF,16
MILS 214, 12:40 pm, 02:30 pm, M,16
MILS 214, 03:00 pm, 04:50 pm, M,16
